O2;O2;O2;O2;O2;O2;O2;O2;O2;C5;C5;O2;O2;O2;O2;O2;O2;O2;O2;O2
O2;D4;C5;C5;C5;C5;C5;C5;C5;C5;S1;C5;C5;O1;O1;O1;O1;O1;O1;O2
O2;C5;C5;O1;C2;C4;C4;O1;O2;C3;C3;C3;C5;C5;C5;C5;C5;O1;O1;O2
O2;C5;O1;C2;C2;C2;C4;O2;O1;C3;C3;C3;B2;C5;O1;O1;C5;C5;O1;O2
O2;C5;C2;C2;C2;C2;C4;O2;C3;C3;C3;C3;C3;C5;C5;O1;O1;C5;O1;O2
O2;C5;O3;C2;C2;C4;C4;C3;C3;C3;C3;C3;C3;B0;C5;C5;O1;C5;O1;O2
O2;C5;O3;C2;C2;C3;C3;C3;C3;C3;C3;C3;C3;C3;O1;C5;C5;C5;O1;O2
O2;C5;O3;C2;C5;C3;C3;O3;O3;O3;O3;O3;O3;O3;C3;O1;C5;C5;C5;O2
O2;C5;C5;C5;C5;C3;C3;O3;C3;O3;C3;C3;C3;O3;C3;C3;C3;C3;D1;O2
C5;C5;C5;C3;C3;C3;C3;O3;C3;O3;O3;O3;C3;O3;C3;C3;C3;C5;C5;C0
C5;C5;C3;C3;C4;C4;C4;O3;C3;O3;O3;O3;C3;O3;C3;O1;C3;C4;C4;C0
O2;C5;C3;C3;C4;C4;C4;O3;C3;C3;C3;O3;C3;O3;C3;O1;C3;C5;C4;O2
O2;C5;C3;C3;C4;C4;C4;O3;O3;O1;O3;O3;O3;O3;C3;R0;C3;C5;C4;O2
O2;C5;C3;C3;D3;C4;C3;C3;C3;C3;C3;C3;C3;O1;C3;C3;C3;C5;C4;O2
O2;C5;C3;R1;C4;C3;C3;C3;C3;C3;C3;C3;C3;C3;C3;C3;O1;C5;C5;O2
O2;C5;C5;R1;R1;C3;C3;C3;C3;C3;C3;C3;C3;C3;C3;O1;O1;O1;E7;O2
O2;O1;C5;R1;R1;R1;C3;C3;C3;C3;C3;C3;D2;C3;C3;O1;O1;O1;C5;O2
O2;O1;E8;C5;C5;C5;C5;C5;C5;C5;C5;C5;C5;C5;C5;C3;O1;C5;C5;O2
O2;O1;O1;O1;C5;C5;C5;C3;C3;C5;C5;C3;C3;C3;C5;C5;C5;C5;R1;O2
O2;O2;O2;O2;O2;O2;O2;O2;O2;C0;C0;O2;O2;O2;O2;O2;O2;O2;O2;O2
